household_key,first_alert,n_episodes,backlog,high_value,churned,alert_week
863,359.0,5,False,False,False,52
864,415.0,1,False,True,False,60
866,358.0,3,False,False,False,52
867,371.0,6,False,False,False,53
868,363.0,6,False,True,False,52
869,451.0,3,False,False,False,65
870,349.0,2,True,False,True,50
871,352.0,8,False,True,False,51
873,365.0,5,False,False,False,53
875,369.0,2,False,False,False,53
876,453.0,5,False,False,False,65
877,384.0,6,False,False,False,55
878,354.0,7,False,True,False,51
879,484.0,2,False,False,False,70
881,464.0,2,False,False,False,67
882,355.0,12,False,True,False,51
883,363.0,5,False,True,False,52
884,364.0,2,False,False,False,52
885,477.0,3,False,False,False,69
886,355.0,10,False,True,False,51
887,398.0,2,False,False,False,57
888,440.0,3,False,True,False,63
889,423.0,3,False,True,False,61
890,349.0,4,False,False,False,50
891,372.0,2,False,True,False,54
892,349.0,3,True,False,False,50
895,397.0,1,False,True,False,57
896,402.0,5,False,False,False,58
897,390.0,4,False,False,False,56
898,350.0,8,False,True,False,50
900,390.0,1,False,True,False,56
901,401.0,5,False,False,False,58
902,366.0,1,False,False,False,53
903,402.0,6,False,False,False,58
904,390.0,2,False,False,False,56
905,352.0,2,False,False,False,51
906,366.0,6,False,True,False,53
907,386.0,4,False,False,False,56
908,363.0,12,False,True,False,52
909,393.0,5,False,True,False,57
910,349.0,1,True,False,False,50
911,447.0,2,False,False,False,64
913,357.0,7,False,False,False,51
914,379.0,4,False,False,False,55
915,391.0,1,False,False,False,56
916,360.0,11,False,False,False,52
918,350.0,7,False,True,True,50
919,349.0,14,False,False,False,50
920,361.0,6,False,False,False,52
922,374.0,5,False,False,False,54
923,352.0,10,False,False,False,51
924,431.0,1,False,False,False,62
925,349.0,3,True,False,False,50
926,370.0,4,False,True,False,53
928,374.0,3,False,False,False,54
929,370.0,4,False,False,False,53
930,349.0,5,True,False,False,50
931,349.0,2,True,True,False,50
932,353.0,10,False,True,False,51
934,372.0,1,False,True,False,54
935,354.0,3,False,False,False,51
936,399.0,4,False,True,False,57
937,459.0,2,False,False,False,66
939,357.0,3,False,False,False,51
940,349.0,5,True,False,False,50
941,353.0,5,False,False,False,51
942,353.0,3,False,False,False,51
943,381.0,5,False,False,False,55
944,349.0,4,False,False,False,50
945,371.0,3,False,False,False,53
946,414.0,3,False,False,False,60
947,355.0,16,False,False,False,51
949,349.0,6,False,False,False,50
950,362.0,5,False,False,False,52
952,401.0,5,False,False,False,58
954,365.0,3,False,False,False,53
955,371.0,13,False,False,False,53
956,353.0,10,False,True,False,51
