household_key,drop_week,dropped_rolling,drop70_holdout,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0,sig_week_2.5,lead_2.5
2131,62.0,True,True,53.0,9.0,53.0,9.0,63.0,-1.0
2133,56.0,True,False,52.0,4.0,57.0,-1.0,,
2134,,False,False,61.0,,70.0,,,
2142,,False,False,72.0,,,,,
2162,,False,False,,,,,,
2168,76.0,True,False,56.0,20.0,82.0,-6.0,,
2170,75.0,True,False,63.0,12.0,77.0,-2.0,77.0,-2.0
2184,51.0,True,True,51.0,0.0,71.0,-20.0,71.0,-20.0
2185,62.0,True,True,53.0,9.0,65.0,-3.0,89.0,-27.0
2190,97.0,True,False,57.0,40.0,57.0,40.0,57.0,40.0
2193,54.0,True,True,56.0,-2.0,56.0,-2.0,,
2194,,False,False,51.0,,53.0,,65.0,
2199,74.0,True,True,51.0,23.0,60.0,14.0,92.0,-18.0
2200,,False,False,61.0,,,,,
2207,58.0,True,True,55.0,3.0,58.0,0.0,58.0,0.0
2208,67.0,True,True,51.0,16.0,52.0,15.0,54.0,13.0
2209,51.0,True,False,51.0,0.0,57.0,-6.0,58.0,-7.0
2226,92.0,True,False,51.0,41.0,51.0,41.0,52.0,40.0
2227,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
2233,54.0,True,False,51.0,3.0,52.0,2.0,54.0,0.0
2234,62.0,True,False,57.0,5.0,68.0,-6.0,68.0,-6.0
2260,51.0,True,True,53.0,-2.0,53.0,-2.0,53.0,-2.0
2261,,False,False,69.0,,71.0,,71.0,
2264,67.0,True,False,54.0,13.0,54.0,13.0,54.0,13.0
2266,,False,False,75.0,,,,,
2277,55.0,True,True,54.0,1.0,57.0,-2.0,57.0,-2.0
2280,,False,False,,,,,,
2284,54.0,True,False,55.0,-1.0,55.0,-1.0,55.0,-1.0
2294,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
2295,75.0,True,True,51.0,24.0,70.0,5.0,89.0,-14.0
2296,,False,False,52.0,,56.0,,89.0,
2301,60.0,True,True,51.0,9.0,51.0,9.0,62.0,-2.0
2305,56.0,True,False,51.0,5.0,58.0,-2.0,59.0,-3.0
2307,67.0,True,False,61.0,6.0,78.0,-11.0,78.0,-11.0
2312,54.0,True,False,53.0,1.0,53.0,1.0,69.0,-15.0
2314,75.0,True,False,51.0,24.0,,,,
2317,81.0,True,False,51.0,30.0,51.0,30.0,,
2318,68.0,True,True,51.0,17.0,51.0,17.0,51.0,17.0
2322,55.0,True,False,56.0,-1.0,69.0,-14.0,,
2328,66.0,True,False,51.0,15.0,51.0,15.0,67.0,-1.0
2334,65.0,True,False,52.0,13.0,55.0,10.0,66.0,-1.0
2337,82.0,True,True,65.0,17.0,81.0,1.0,83.0,-1.0
2341,86.0,True,True,51.0,35.0,62.0,24.0,62.0,24.0
2351,,False,False,69.0,,,,,
2360,64.0,True,False,52.0,12.0,55.0,9.0,63.0,1.0
2364,,False,False,53.0,,,,,
2367,63.0,True,True,63.0,0.0,63.0,0.0,70.0,-7.0
2374,61.0,True,False,53.0,8.0,57.0,4.0,,
2395,56.0,True,False,54.0,2.0,57.0,-1.0,96.0,-40.0
2400,,False,False,51.0,,56.0,,,
2412,85.0,True,False,52.0,33.0,56.0,29.0,82.0,3.0
2421,51.0,True,False,53.0,-2.0,55.0,-4.0,,
2425,61.0,True,True,61.0,0.0,76.0,-15.0,76.0,-15.0
2427,,False,False,65.0,,,,,
2437,57.0,True,False,51.0,6.0,59.0,-2.0,59.0,-2.0
2445,53.0,True,False,51.0,2.0,53.0,0.0,53.0,0.0
2447,51.0,True,True,51.0,0.0,51.0,0.0,52.0,-1.0
2448,51.0,True,False,53.0,-2.0,53.0,-2.0,54.0,-3.0
2449,67.0,True,False,53.0,14.0,57.0,10.0,57.0,10.0
2451,97.0,True,False,51.0,46.0,53.0,44.0,101.0,-4.0
2459,57.0,True,True,58.0,-1.0,58.0,-1.0,74.0,-17.0
2462,75.0,True,False,54.0,21.0,69.0,6.0,87.0,-12.0
2467,,False,False,56.0,,,,,
2479,,False,False,57.0,,,,,
2484,75.0,True,False,51.0,24.0,51.0,24.0,84.0,-9.0
2489,84.0,True,True,51.0,33.0,51.0,33.0,92.0,-8.0
2497,60.0,True,False,51.0,9.0,59.0,1.0,99.0,-39.0
