household_key,alert_day,week,high_value
338,395,57,False
338,485,70,False
338,533,77,False
339,401,58,False
339,469,67,False
339,516,74,False
340,393,57,False
340,501,72,False
341,349,50,False
341,434,62,False
341,463,67,False
341,477,69,False
341,505,73,False
341,546,78,False
342,381,55,False
342,467,67,False
343,477,69,False
343,529,76,False
344,349,50,False
344,367,53,False
344,401,58,False
344,417,60,False
344,459,66,False
344,554,80,False
345,403,58,False
345,469,67,False
345,505,73,False
346,523,75,False
349,349,50,False
349,448,64,False
349,467,67,False
349,529,76,False
350,358,52,False
350,383,55,False
350,444,64,False
350,467,67,False
350,500,72,False
350,553,79,False
351,379,55,True
351,406,58,True
351,437,63,True
351,447,64,True
351,546,78,True
353,349,50,False
353,377,54,False
353,405,58,False
353,431,62,False
353,507,73,False
354,354,51,True
354,365,53,True
354,376,54,True
354,412,59,True
354,444,64,True
354,455,65,True
354,515,74,True
354,530,76,True
354,554,80,True
356,349,50,False
356,356,51,False
356,362,52,False
356,381,55,False
356,390,56,False
356,408,59,False
356,420,60,False
356,429,62,False
356,439,63,False
356,448,64,False
356,453,65,False
356,464,67,False
356,468,67,False
356,489,70,False
356,499,72,False
356,505,73,False
356,522,75,False
356,550,79,False
358,382,55,True
358,394,57,True
358,404,58,True
358,489,70,True
360,365,53,False
360,523,75,False
361,386,56,True
361,396,57,True
361,419,60,True
361,534,77,True
364,355,51,False
364,401,58,False
364,429,62,False
364,468,67,False
364,495,71,False
364,510,73,False
365,375,54,True
365,411,59,True
365,428,62,True
365,446,64,True
365,458,66,True
365,485,70,True
365,505,73,True
365,533,77,True
365,550,79,True
366,379,55,False
366,400,58,False
366,421,61,False
366,469,67,False
366,494,71,False
366,537,77,False
368,349,50,False
368,376,54,False
368,405,58,False
369,385,55,False
369,439,63,False
369,478,69,False
369,558,80,False
370,349,50,False
370,399,57,False
370,460,66,False
371,382,55,True
371,464,67,True
374,362,52,True
374,371,53,True
374,383,55,True
374,394,57,True
374,403,58,True
374,411,59,True
374,441,63,True
374,459,66,True
374,472,68,True
374,502,72,True
374,552,79,True
376,391,56,True
376,402,58,True
376,412,59,True
376,481,69,True
376,527,76,True
376,532,76,True
376,538,77,True
376,543,78,True
377,356,51,False
377,369,53,False
377,403,58,False
377,422,61,False
377,449,65,False
377,484,70,False
377,539,77,False
378,456,66,True
380,366,53,True
380,513,74,True
381,349,50,False
381,367,53,False
381,482,69,False
381,500,72,False
381,543,78,False
382,407,59,False
382,540,78,False
383,548,79,True
384,349,50,False
384,505,73,False
384,530,76,False
385,450,65,False
386,349,50,False
386,367,53,False
386,381,55,False
386,427,61,False
386,438,63,False
386,498,72,False
386,510,73,False
386,522,75,False
386,537,77,False
387,364,52,True
387,382,55,True
387,391,56,True
387,418,60,True
387,426,61,True
387,469,67,True
387,515,74,True
387,524,75,True
387,551,79,True
388,378,54,False
388,461,66,False
388,510,73,False
388,548,79,False
389,392,56,True
389,483,69,True
389,493,71,True
389,502,72,True
389,519,75,True
389,534,77,True
389,545,78,True
390,363,52,False
390,398,57,False
390,412,59,False
390,430,62,False
390,454,65,False
390,490,70,False
390,523,75,False
390,546,78,False
393,391,56,False
393,479,69,False
393,496,71,False
393,508,73,False
393,547,79,False
394,381,55,False
394,542,78,False
395,365,53,False
395,418,60,False
395,461,66,False
395,491,71,False
396,398,57,False
396,417,60,False
396,430,62,False
396,449,65,False
396,479,69,False
396,536,77,False
397,370,53,True
397,383,55,True
397,480,69,True
397,494,71,True
397,507,73,True
397,521,75,True
398,372,54,False
398,460,66,False
398,557,80,False
400,381,55,True
400,402,58,True
400,416,60,True
400,444,64,True
400,458,66,True
400,492,71,True
401,349,50,False
401,409,59,False
401,442,64,False
401,484,70,False
401,531,76,False
402,442,64,False
402,459,66,False
402,496,71,False
402,513,74,False
402,550,79,False
403,349,50,False
403,393,57,False
403,422,61,False
403,444,64,False
403,489,70,False
403,518,74,False
404,471,68,False
404,526,76,False
404,548,79,False
405,349,50,False
405,373,54,False
405,422,61,False
405,501,72,False
407,349,50,False
407,424,61,False
407,483,69,False
407,501,72,False
407,519,75,False
408,469,67,False
408,556,80,False
409,371,53,False
409,412,59,False
409,453,65,False
409,480,69,False
410,368,53,False
410,380,55,False
410,409,59,False
410,522,75,False
411,361,52,True
411,425,61,True
411,436,63,True
411,473,68,True
411,492,71,True
411,505,73,True
411,522,75,True
411,541,78,True
411,551,79,True
412,378,54,False
412,403,58,False
412,435,63,False
412,479,69,False
412,498,72,False
413,456,66,False
413,487,70,False
413,501,72,False
413,528,76,False
414,378,54,False
414,428,62,False
414,436,63,False
414,453,65,False
414,476,68,False
414,487,70,False
414,496,71,False
414,508,73,False
414,519,75,False
414,531,76,False
414,553,79,False
416,349,50,False
416,382,55,False
416,410,59,False
416,484,70,False
417,350,50,False
417,464,67,False
418,349,50,False
418,361,52,False
418,375,54,False
418,382,55,False
418,395,57,False
418,422,61,False
418,431,62,False
418,448,64,False
418,469,67,False
418,487,70,False
418,528,76,False
418,541,78,False
418,548,79,False
419,349,50,False
419,389,56,False
419,422,61,False
419,495,71,False
419,522,75,False
420,351,51,False
420,375,54,False
420,395,57,False
420,426,61,False
420,441,63,False
420,469,67,False
420,495,71,False
421,349,50,True
421,358,52,True
421,395,57,True
421,403,58,True
421,415,60,True
421,445,64,True
421,460,66,True
421,479,69,True
421,499,72,True
421,509,73,True
421,526,76,True
421,543,78,True
425,424,61,True
425,448,64,True
425,462,66,True
425,510,73,True
426,411,59,True
426,434,62,True
426,495,71,True
426,525,75,True
426,554,80,True
427,364,52,False
427,394,57,False
428,350,50,False
428,398,57,False
428,414,60,False
428,427,61,False
428,449,65,False
428,532,76,False
428,546,78,False
429,405,58,False
429,528,76,False
430,349,50,False
430,392,56,False
430,410,59,False
430,461,66,False
430,472,68,False
430,514,74,False
430,545,78,False
430,552,79,False
431,408,59,False
431,462,66,False
431,541,78,False
432,392,56,False
433,349,50,False
433,362,52,False
433,376,54,False
433,390,56,False
433,426,61,False
433,461,66,False
433,473,68,False
433,505,73,False
433,519,75,False
433,539,77,False
434,542,78,False
435,402,58,False
435,469,67,False
436,385,55,False
436,467,67,False
436,522,75,False
436,554,80,False
437,355,51,True
437,422,61,True
437,465,67,True
437,523,75,True
439,349,50,False
439,357,51,False
441,439,63,False
441,473,68,False
442,402,58,False
442,443,64,False
443,357,51,False
443,395,57,False
443,439,63,False
443,488,70,False
444,349,50,False
444,386,56,False
444,428,62,False
444,461,66,False
444,491,71,False
444,511,73,False
445,356,51,False
445,367,53,False
446,503,72,False
447,375,54,False
447,437,63,False
448,365,53,False
448,429,62,False
448,462,66,False
448,498,72,False
449,349,50,False
449,506,73,False
450,380,55,False
450,407,59,False
450,516,74,False
451,398,57,False
451,425,61,False
453,349,50,False
