WEEK_NO,promo_group,pair_weeks,products,stores,total_sales,avg_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate
67,display_only,2026,653,84,1615.9099999999999,0.7975863770977294,0.25222112537018754,0.30750246791707797,0.04270752626763228,0.016683014938230913,0.009902184785383576
67,mailer_only,3659,547,84,4158.070000000001,1.1363951899426075,0.27521180650450944,0.345722875102487,0.06165952902490039,0.01865685590205245,0.011159737113846829
67,both,1682,234,84,3219.7699999999986,1.9142508917954808,0.3697978596908442,0.5178359096313913,0.11019000025851962,0.0289797594402749,0.01783034241225799
68,none,106,81,34,60.78,0.5733962264150944,0.22641509433962265,0.24528301886792453,0.028409273147611793,0.012848451331675855,0.0074162488349991664
68,display_only,1738,573,92,1354.9700000000005,0.7796144994246262,0.24568469505178367,0.2802071346375144,0.042682616564059715,0.015591034543961718,0.008689105295636212
68,mailer_only,7336,938,92,7068.800000000005,0.9635768811341336,0.2584514721919302,0.3251090512540894,0.053681364998052206,0.01792610286486876,0.010158955731083741
68,both,2086,385,92,2272.249999999999,1.0892857142857137,0.34276126558005754,0.4395973154362416,0.06046451080686201,0.024008435498395084,0.01406520152326416
69,none,197,125,46,118.26000000000002,0.6003045685279189,0.2233502538071066,0.26903553299492383,0.02805478880218861,0.01372147144151401,0.00820322830309292
69,display_only,2755,783,83,2084.9700000000003,0.7567949183303087,0.24791288566243194,0.2969147005444646,0.04152640871858367,0.016705506957342815,0.009693452392982792
69,mailer_only,2389,397,83,2704.1100000000006,1.1319003767266642,0.274173294265383,0.33151946421096695,0.06447551224227603,0.018643051497584336,0.010977319991885226
69,both,856,161,83,1472.5000000000002,1.720210280373832,0.411214953271028,0.5759345794392523,0.10018820108197563,0.03284436995276562,0.019326060972289064
70,none,153,96,40,81.4,0.5320261437908497,0.19607843137254902,0.24183006535947713,0.024916434729518853,0.0115317688749444,0.005919636809959919
70,display_only,2632,772,84,1725.9400000000003,0.6557522796352585,0.23252279635258358,0.26443768996960487,0.037892637432142204,0.01565552908731797,0.009355648502002396
70,mailer_only,2776,436,85,3382.3500000000004,1.2184257925072048,0.32744956772334294,0.44812680115273773,0.070085810317719,0.02604177289409605,0.015988846423223558
