household_key,is_candidate_analysis,is_primary_analysis,is_primary_eligible1_analysis,is_primary_all_weeks_analysis,is_primary_no_history_filter_analysis,is_home70_analysis,first_observed_week,baseline_baskets,n_baseline_purchase_weeks,baseline_weekly_visit_rate,home_store_id,baseline_home_store_share,outcome_home_store_share,n_eligible_products,n_eligible_products_all_weeks,n_repeated_products_no_history_filter,original_top20_baskets,eligible_original_top20_baskets,excluded_weight_share
1529,1,0,0,0,0,0,14,30,12,0.9230769230769231,333,0.4666666666666667,0.4855769230769231,20,20,20,86,21,0.7558139534883721
1530,1,0,0,0,0,0,16,9,8,0.7272727272727273,396,0.3333333333333333,0.10526315789473684,5,5,7,33,15,0.5454545454545454
1531,1,0,0,0,0,0,11,6,5,0.3125,289,0.8333333333333334,0.39473684210526316,4,4,6,26,8,0.6923076923076923
1532,1,1,1,1,1,1,8,48,16,0.8421052631578947,369,0.9583333333333334,1.0,12,15,20,100,30,0.7
1534,1,1,1,1,1,1,16,33,11,1.0,375,1.0,0.9782608695652174,20,20,20,89,49,0.449438202247191
1535,1,0,0,0,0,0,12,8,6,0.4,360,0.625,0.5720338983050848,8,9,11,31,16,0.4838709677419355
1536,1,1,1,1,1,1,7,35,17,0.85,406,0.8571428571428571,0.8359375,20,20,20,66,48,0.2727272727272727
1537,1,1,1,1,1,0,8,48,15,0.7894736842105263,404,0.5833333333333334,0.6363636363636364,12,20,20,60,26,0.5666666666666667
1538,1,0,1,0,0,0,10,19,11,0.6470588235294118,343,0.9473684210526315,0.5,2,2,2,22,4,0.8181818181818181
1540,1,0,0,0,0,0,15,11,6,0.5,380,0.9090909090909091,0.06153846153846154,19,19,20,43,37,0.13953488372093026
1541,1,1,1,1,1,1,17,12,9,0.9,304,0.9166666666666666,0.6292134831460674,20,20,20,87,33,0.6206896551724138
1542,1,1,1,1,1,1,4,29,19,0.8260869565217391,313,0.9655172413793104,0.9425287356321839,5,7,12,54,11,0.7962962962962963
1543,1,1,1,1,1,1,16,34,11,1.0,296,0.8823529411764706,0.5714285714285714,11,15,20,65,22,0.6615384615384615
1544,1,0,0,0,0,0,4,22,16,0.6956521739130435,438,0.36363636363636365,0.125,20,20,20,90,45,0.5
