household_key,first_day,category_diversity,department_diversity,initial_baskets,initial_active_days,initial_sales,followup_baskets,followup_active_days,followup_sales,returned,z_category_diversity,z_initial_baskets,z_initial_sales,z_first_day,diversity_group
38,102,16,3,2,2,53.55000000000001,7,7,355.4,1,-0.5905662022352585,-0.8530960554590038,-0.5048711605452408,0.9749469863511513,Q2
39,26,66,9,5,2,348.73999999999995,6,6,720.09,1,1.7190912821709996,0.14001820786671987,1.0714120706293973,-1.0662125823661208,Q4
40,75,36,9,8,7,144.16,27,24,1219.5900000000008,1,0.3332967915272448,0.7209528108435844,0.3254184549024169,0.2497981922015941,Q3
41,71,23,3,5,4,136.95999999999995,5,5,158.93,1,-0.2672141544183823,0.14001820786671987,0.28226085971523174,0.14236874121647453,Q2
42,100,21,7,6,6,134.38,8,8,186.34,1,-0.3596004537946326,0.3608792935514903,0.26624570812966514,0.9212322608585914,Q2
43,115,6,2,4,4,17.740000000000002,6,6,32.779999999999994,1,-1.05249769911651,-0.12120501231222784,-1.4112898884869547,1.32409270205279,Q1
44,81,7,3,2,2,34.2,2,2,30.32,1,-1.0063045494283849,-0.8530960554590038,-0.8765063012031081,0.4109423686792735,Q1
45,100,17,4,10,10,149.85000000000002,4,4,106.25,1,-0.5443730525471333,1.0084659617071041,0.3580367323441977,0.9212322608585914,Q2
46,14,40,9,4,4,216.34999999999997,1,1,108.14999999999999,1,0.5180693902797454,-0.12120501231222784,0.667871217724628,-1.3885009353214794,Q3
47,109,17,7,6,6,80.49000000000001,15,14,347.36,1,-0.5443730525471333,0.3608792935514903,-0.16437787909762125,1.1629485255751104,Q2
48,112,19,6,7,3,163.32000000000002,5,5,69.62,1,-0.45198675317088294,0.5521978682155793,0.43059535034480245,1.2435206138139503,Q2
49,61,19,7,3,1,85.26999999999998,9,7,390.0999999999999,1,-0.45198675317088294,-0.44091639511014435,-0.11602095272260698,-0.12620488624632442,Q2
50,113,28,4,3,3,109.16999999999999,1,1,6.890000000000001,1,-0.03624840597775649,-0.44091639511014435,0.0914352253448583,1.27037797656023,Q3
51,14,38,7,8,4,180.7,9,9,169.07000000000005,1,0.42568309090349515,0.7209528108435844,0.515888830526354,-1.3885009353214794,Q3
52,13,7,2,1,1,35.43,7,6,137.88,1,-1.0063045494283849,-1.434030658435868,-0.8473686532604304,-1.4153582980677593,Q1
53,73,3,2,1,1,9.67,5,5,227.89,1,-1.1910771481808855,-1.434030658435868,-1.8890973858972164,0.19608346670903432,Q1
54,34,2,1,1,1,9.97,2,2,12.13,1,-1.2372702978690107,-1.434030658435868,-1.8655743450427034,-0.8513536803958816,Q1
55,67,11,6,5,5,53.06,8,8,55.56,1,-0.8215319506758842,0.14001820786671987,-0.5125259077525525,0.03493929023135494,Q1
56,96,43,6,7,6,192.97,13,12,362.67999999999995,1,0.656648839344121,0.5521978682155793,0.571325124872989,0.8138028098734719,Q4
57,52,29,6,8,7,158.63,19,13,348.11,1,0.00994474371036867,0.7209528108435844,0.4060297804435634,-0.36792115096284345,Q3
58,81,86,11,17,15,626.0400000000001,31,24,1049.8600000000001,1,2.6429542759335027,1.7140670741693078,1.5666921333060124,0.4109423686792735,Q4
59,67,11,6,3,2,66.28999999999999,5,4,104.82000000000001,1,-0.8215319506758842,-0.44091639511014435,-0.32680905145781375,0.03493929023135494,Q1
60,91,52,8,3,3,265.2200000000001,0,0,0.0,0,1.0723871865372474,-0.44091639511014435,0.8399271852786364,0.6795159961420724,Q4
61,78,1,1,1,1,20.0,3,3,60.77,1,-1.2834634475571358,-1.434030658435868,-1.3146956848907154,0.33037028044043376,Q1
62,66,18,4,2,2,38.33,2,2,5.38,1,-0.4981799028590081,-0.8530960554590038,-0.7823898175247767,0.008081927485075049,Q2
63,85,14,3,5,4,123.75999999999999,3,3,45.33,1,-0.6829525016115088,0.14001820786671987,0.19694136329818107,0.518371819664393,Q2
64,10,2,2,1,1,400.79,0,0,0.0,0,-1.2372702978690107,-1.434030658435868,1.1891108349495316,-1.4959303863065991,Q1
65,36,24,3,5,4,111.55,9,8,92.75,1,-0.22102100473025715,0.14001820786671987,0.10956681622041807,-0.7976389549033218,Q2
66,118,25,5,4,3,61.27999999999999,11,8,127.59999999999998,1,-0.17482785504213197,-0.12120501231222784,-0.39244646867764804,1.4046647902916296,Q2
67,103,72,11,10,9,594.9599999999999,20,17,1023.6100000000006,1,1.9962501802997505,1.0084659617071041,1.5235650874233144,1.001804349097431,Q4
