PRODUCT_ID,STORE_ID,comparison,reference_state,comparison_state,reference_weeks,comparison_weeks,min_state_weeks,reference_spv,comparison_spv,reference_bpr,comparison_bpr,reference_basket_share,comparison_basket_share,reference_category_share,comparison_category_share,spv_difference,bpr_difference,basket_share_difference,category_share_difference,is_positive_spv,is_positive_bpr
827180,318,both_vs_additive,display+mailer-none,both,3,1,1,0.03761027568922306,0.0,0.04588596491228071,0.0,0.02274276580378739,0.0,0.2277758204833225,0.0,-0.03761027568922306,-0.04588596491228071,-0.02274276580378739,-0.2277758204833225,0,0
827180,321,both_vs_additive,display+mailer-none,both,3,1,1,0.04488400488400489,0.0,0.023508343508343507,0.0,0.015303140799453902,0.0,0.1353839535817092,0.0,-0.04488400488400489,-0.023508343508343507,-0.015303140799453902,-0.1353839535817092,0,0
827180,335,both_vs_additive,display+mailer-none,both,1,1,1,-0.04595588235294118,0.0,-0.02022058823529412,0.0,-0.011507936507936509,0.0,-0.31328751431844215,0.0,0.04595588235294118,0.02022058823529412,0.011507936507936509,0.31328751431844215,1,1
827180,356,both_vs_additive,display+mailer-none,both,3,1,1,-0.011417718855218851,0.0,-0.009350448933782266,0.0,-0.006852242282844066,0.0,-0.01226876696295491,0.0,0.011417718855218851,0.009350448933782266,0.006852242282844066,0.01226876696295491,1,1
827180,370,both_vs_additive,display+mailer-none,both,3,1,1,-0.042542506513094755,0.15384615384615385,-0.03981814753873576,0.07692307692307693,-0.022500170080815243,0.05263157894736842,0.058557904173508035,0.25,0.19638866035924862,0.11674122446181269,0.07513174902818366,0.19144209582649196,1,1
827180,372,both_vs_additive,display+mailer-none,both,3,1,1,0.10558030012771392,0.0,0.04162994891443167,0.0,0.02313642633716073,0.0,0.4813695995389004,0.0,-0.10558030012771392,-0.04162994891443167,-0.02313642633716073,-0.4813695995389004,0,0
827180,406,both_vs_additive,display+mailer-none,both,3,1,1,0.014564495530012773,0.07407407407407407,-0.008510855683269477,0.037037037037037035,-0.0029128990200614044,0.01639344262295082,-0.029786326965862142,0.07870916961826052,0.059509578544061296,0.045547892720306515,0.019306341643012224,0.10849549658412266,1,1
827180,446,both_vs_additive,display+mailer-none,both,1,1,1,-0.035507246376811595,0.047619047619047616,0.004492753623188406,0.047619047619047616,0.0032091097308488605,0.03125,,0.08169934640522876,0.08312629399585922,0.04312629399585921,0.028040890269151138,,1,1
830015,372,both_vs_additive,display+mailer-none,both,4,2,2,0.05794365721997301,0.037037037037037035,0.04365481010217852,0.018518518518518517,0.023059532696990702,0.010416666666666666,0.16322203385948753,0.2,-0.020906620182935973,-0.02513629158366,-0.012642866030324036,0.036777966140512486,0,0
830887,311,both_vs_additive,display+mailer-none,both,3,3,3,0.09236111111111112,0.04282051282051282,0.030555555555555558,0.025641025641025644,0.014743589743589745,0.008547008547008546,0.2393867924528302,0.045703338806787085,-0.049540598290598294,-0.004914529914529914,-0.006196581196581199,-0.1936834536460431,0,0
830887,318,both_vs_additive,display+mailer-none,both,6,2,2,0.003655637254901964,0.0,-0.0035539215686274505,0.0,-0.001126126126126126,0.0,0.023818767675259624,0.0,-0.003655637254901964,0.0035539215686274505,0.001126126126126126,-0.023818767675259624,0,1
830887,343,both_vs_additive,display+mailer-none,both,3,5,3,0.007310606060606059,0.01296551724137931,0.0042929292929292946,0.006896551724137931,0.0021061912225705326,0.0038461538461538464,0.0027837266821213215,0.022488038277511963,0.005654911180773251,0.0026036224312086364,0.0017399626235833137,0.01970431159539064,1,1
830887,356,both_vs_additive,display+mailer-none,both,1,3,1,0.0698240284619595,0.02466666666666667,0.041365626710454295,0.013333333333333334,0.02257614592018446,0.010416666666666666,0.09743607211224622,0.06905561776782382,-0.045157361795292825,-0.02803229337712096,-0.012159479253517793,-0.028380454344422407,0,0
830887,372,both_vs_additive,display+mailer-none,both,1,4,1,0.1974959861775651,0.018076923076923077,0.06173442559566961,0.009615384615384616,0.038294901455101706,0.005555555555555556,0.38998203134156595,0.0607235142118863,-0.17941906310064204,-0.052119040980285,-0.03273934589954615,-0.32925851712967963,0,0
830887,391,both_vs_additive,display+mailer-none,both,1,4,1,0.05546717171717172,0.04911764705882353,0.026262626262626265,0.029411764705882353,0.01708637173877816,0.021739130434782608,0.16531212723647823,0.07100340136054421,-0.006349524658348191,0.0031491384432560873,0.004652758696004448,-0.09430872587593402,0,1
830887,401,both_vs_additive,display+mailer-none,both,2,5,2,0.0735115629984051,0.03935555555555555,0.0385725677830941,0.021111111111111112,0.023973848405666586,0.014814814814814814,0.12591780266661923,0.05704982896703357,-0.034156007442849544,-0.017461456671982987,-0.009159033590851772,-0.06886797369958567,0,0
830887,406,both_vs_additive,display+mailer-none,both,1,5,1,-0.03257641025641026,0.011448275862068966,-0.01805128205128205,0.006896551724137931,-0.007620614035087719,0.0027777777777777775,-0.021655023863385792,0.007564365459102301,0.04402468611847923,0.02494783377541998,0.010398391812865497,0.029219389322488094,1,1
830887,421,both_vs_additive,display+mailer-none,both,3,7,3,-0.03737840123725292,0.035776128633271495,-0.006133584650331064,0.019789734075448363,-0.0011360754406207312,0.014965986394557821,-0.045988858254716936,0.11293569457739738,0.07315452987052441,0.025923318725779427,0.016102061835178552,0.15892455283211432,1,1
830887,450,both_vs_additive,display+mailer-none,both,3,6,3,0.04797979797979798,0.044542483660130715,0.01452020202020202,0.016748366013071895,0.009837962962962962,0.011074800290486566,0.10120774826657179,0.06971682236798515,-0.0034373143196672687,0.002228163992869875,0.0012368373275236048,-0.03149092589858664,0,1
