household_key,comparison,preferred_products,total_preference_weight,profiled_products,profiled_weight,multistore_profiled_products,multistore_profiled_weight,sales_positive_weight,penetration_positive_weight,any_positive_weight,joint_positive_weight,home_store_profiled_products,home_store_profiled_weight,home_store_sales_positive_weight,home_store_penetration_positive_weight,weighted_median_spv_difference,weighted_median_bpr_difference
1119,both_vs_none,18,0.9999999999999994,2,0.1276595744680851,1,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.0851063829787234,0,0.0,0.0,0.0,0.009946581196581199,0.004896723646723647
1119,display_only_vs_none,18,0.9999999999999994,2,0.1276595744680851,1,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.0851063829787234,0,0.0,0.0,0.0,0.018516409164775406,0.007250766294843045
1119,mailer_only_vs_none,18,0.9999999999999994,4,0.2127659574468085,1,0.0851063829787234,0.0851063829787234,0.0,0.0851063829787234,0.0,0,0.0,0.0,0.0,0.06360998023767421,0.008201694139194141
1120,both_vs_additive,13,0.9999999999999998,2,0.18421052631578946,1,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,0,0.0,0.0,0.0,0.011671364168835293,0.017323537206823055
1120,both_vs_none,13,0.9999999999999998,3,0.2631578947368421,1,0.10526315789473684,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005561485543565983,0.0032824908608400124
1120,display_only_vs_none,13,0.9999999999999998,2,0.18421052631578946,1,0.10526315789473684,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0038232147578032526,-0.008058654834500863
1120,mailer_only_vs_none,13,0.9999999999999998,3,0.2631578947368421,1,0.10526315789473684,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0029470563350881586,-0.005982391511482188
1121,both_vs_additive,10,0.9999999999999997,3,0.3928571428571428,1,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0,0.0,0.0,0.0,0.16836150148988288,0.04128756979795421
1121,both_vs_none,10,0.9999999999999997,3,0.3928571428571428,1,0.21428571428571427,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.07045406843319933,-0.0015695903236861224
1121,display_only_vs_none,10,0.9999999999999997,3,0.3928571428571428,1,0.21428571428571427,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.10056833513172979,-0.016514079457296535
1121,mailer_only_vs_none,10,0.9999999999999997,3,0.3928571428571428,1,0.21428571428571427,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.13824723479135242,-0.026096656611362498
1122,both_vs_additive,14,1.0000000000000002,2,0.21428571428571427,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1122,both_vs_none,14,1.0000000000000002,2,0.21428571428571427,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1122,display_only_vs_none,14,1.0000000000000002,3,0.2857142857142857,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1122,mailer_only_vs_none,14,1.0000000000000002,3,0.2857142857142857,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,0.07142857142857142,0.0,0.0,0.021507182734204794,0.017638084274113685
1123,both_vs_additive,20,0.9999999999999999,2,0.06578947368421052,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1123,both_vs_none,20,0.9999999999999999,2,0.06578947368421052,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1123,display_only_vs_none,20,0.9999999999999999,3,0.18421052631578946,1,0.11842105263157894,0.11842105263157894,0.11842105263157894,0.11842105263157894,0.11842105263157894,0,0.0,0.0,0.0,0.017326660471881063,0.004485599057725228
1123,mailer_only_vs_none,20,0.9999999999999999,2,0.06578947368421052,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1124,both_vs_additive,5,0.9999999999999999,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1124,both_vs_none,5,0.9999999999999999,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1124,display_only_vs_none,5,0.9999999999999999,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1124,mailer_only_vs_none,5,0.9999999999999999,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1128,both_vs_additive,13,0.9999999999999996,2,0.21052631578947367,1,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0,0.0,0.0,0.0,0.030309441978264528,0.02224906074547422
1128,both_vs_none,13,0.9999999999999996,3,0.2894736842105263,1,0.10526315789473684,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.009896729395254995,-0.0022554718493841587
1128,display_only_vs_none,13,0.9999999999999998,3,0.2631578947368421,2,0.15789473684210525,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.014578478862008502,-0.009160673091788862
1128,mailer_only_vs_none,13,0.9999999999999998,4,0.34210526315789475,1,0.10526315789473684,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.02006837606837607,-0.009401709401709403
1129,both_vs_additive,20,0.9999999999999999,4,0.2,1,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0,0.0,0.0,0.0,0.06888543039086517,0.008195862130072656
1129,both_vs_none,20,0.9999999999999999,4,0.2,1,0.02857142857142857,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0017575757575757633,0.0
1129,display_only_vs_none,20,0.9999999999999999,4,0.2,1,0.02857142857142857,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.01988095238095238,-0.010869565217391304
1129,mailer_only_vs_none,20,0.9999999999999999,4,0.2,1,0.02857142857142857,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.008747619047619047,-0.0007803703529097455
1130,both_vs_additive,20,1.0000000000000004,2,0.12307692307692308,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1130,both_vs_none,20,1.0000000000000004,2,0.12307692307692308,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1130,display_only_vs_none,20,1.0000000000000004,2,0.12307692307692308,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1130,mailer_only_vs_none,20,1.0000000000000004,4,0.2153846153846154,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1133,both_vs_additive,8,1.0,2,0.2608695652173913,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1133,both_vs_none,8,1.0,2,0.2608695652173913,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1133,display_only_vs_none,8,1.0,2,0.2608695652173913,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1133,mailer_only_vs_none,8,1.0,2,0.2608695652173913,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1136,both_vs_additive,19,0.9999999999999999,9,0.5471698113207547,4,0.2830188679245283,0.169811320754717,0.09433962264150944,0.169811320754717,0.09433962264150944,6,0.43396226415094336,0.3773584905660377,0.3773584905660377,0.021527439891057328,0.006066578421969
